mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_fit_prior,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.060990190505981444,0.00490319805592057,0.014111185073852539,0.0003798214828355822,0.001,True,"{'alpha': 0.001, 'fit_prior': True}",0.7830740720327162,0.7931515586569473,0.7912113761533927,0.7949632961640285,0.8203245439631125,0.7965449693940394,0.012565010035007776,2
0.0583338737487793,0.0022283331564954957,0.014998340606689453,0.0009645297517895314,0.001,False,"{'alpha': 0.001, 'fit_prior': False}",0.7832338685136446,0.793161400251331,0.7912318855485638,0.7949632961640285,0.8203283605289652,0.7965837622013067,0.012530017289808579,1
0.06402206420898438,0.0034771038161017344,0.016052436828613282,0.0006409057786947721,0.1,True,"{'alpha': 0.1, 'fit_prior': True}",0.782515991505408,0.7919252387950139,0.7929311236392196,0.7960987253374461,0.8182417041071495,0.7963425566768474,0.011848684222103542,4
0.05959315299987793,0.0013375528132717307,0.015359926223754882,0.001497633347475374,0.1,False,"{'alpha': 0.1, 'fit_prior': False}",0.7826634174338796,0.7919336888396559,0.7929489202491459,0.7960987253374461,0.818235247656101,0.7963759999032457,0.011810313408423622,3
0.05705242156982422,0.0011418097637655195,0.013928794860839843,0.000833686528140318,0.2,True,"{'alpha': 0.2, 'fit_prior': True}",0.772763897359708,0.7815854485499857,0.7852959681175699,0.7871380230823397,0.8099690519752781,0.7873504778169762,0.012343985871341922,6
0.05571565628051758,0.0004822156271048516,0.013306045532226562,0.00017985508760890101,0.2,False,"{'alpha': 0.2, 'fit_prior': False}",0.7729215633008745,0.78159362385738,0.7853151631432791,0.7871380230823397,0.8099709048068455,0.7873878556381438,0.012306090493383826,5
0.0559417724609375,0.0003599912877440664,0.01320037841796875,0.00023689323769230454,0.3,True,"{'alpha': 0.3, 'fit_prior': True}",0.7658517408339904,0.7734095764695863,0.7773200970356867,0.7804828297382256,0.8037976963325338,0.7801723880820046,0.012784394288932603,8
0.05597372055053711,0.00030638883570940293,0.013253259658813476,0.00022022379181462284,0.3,False,"{'alpha': 0.3, 'fit_prior': False}",0.7661090059188698,0.7734188169854315,0.777331579110367,0.780568724746875,0.8038007605104217,0.7802457774543929,0.012727056002109743,7
0.05725483894348145,0.0013351275357860828,0.01370997428894043,0.0006610469797725288,0.4,True,"{'alpha': 0.4, 'fit_prior': True}",0.7607677025670448,0.7689150660890504,0.7720513072512417,0.7742502159624226,0.799169586388138,0.7750307756515795,0.012907407535367628,10
0.05638022422790527,0.0006327448413284558,0.013264179229736328,0.0001201209494391271,0.4,False,"{'alpha': 0.4, 'fit_prior': False}",0.7609319159967098,0.76883473408625,0.7720656846101733,0.7742502159624226,0.7991719636018599,0.7750509028514831,0.01287916723308655,9
0.056294727325439456,0.0010677209130515795,0.013242578506469727,0.00021095728567553694,0.5,True,"{'alpha': 0.5, 'fit_prior': True}",0.7564701246344211,0.7646760275614944,0.7665091030760529,0.7701973359545063,0.7932909305193514,0.7702287043491653,0.012376052915265423,12
0.05591769218444824,0.0004713776470839731,0.013105154037475586,0.00019101902536520045,0.5,False,"{'alpha': 0.5, 'fit_prior': False}",0.7567293035626566,0.7646133361161314,0.7666132787080308,0.7701973359545063,0.7932947794662515,0.7702896067615154,0.012319608308043148,11
0.05665903091430664,0.0003122742584232789,0.013338804244995117,0.0003050356036347988,0.6,True,"{'alpha': 0.6, 'fit_prior': True}",0.7523446250949833,0.7598248837741649,0.7626033551612272,0.7672882952735923,0.789261714531863,0.7662645747671663,0.012478426094637366,14
0.05751652717590332,0.0010427653013914057,0.014102697372436523,0.0007737325089167653,0.6,False,"{'alpha': 0.6, 'fit_prior': False}",0.7525160505270745,0.7599160944481771,0.7626159235357682,0.7672882952735923,0.7892666064422712,0.7663205940453767,0.012431923029117567,13
0.05659651756286621,0.0003264860182432019,0.013304376602172851,7.970880451972176e-05,0.7,True,"{'alpha': 0.7, 'fit_prior': True}",0.7490687961606597,0.7580979317577579,0.760838519231259,0.764257092390827,0.784912914918293,0.7634350508917593,0.0118624659129694,16
0.056582069396972655,0.0001445726385180455,0.013328838348388671,0.0005029590869572531,0.7,False,"{'alpha': 0.7, 'fit_prior': False}",0.7492442001844293,0.758108756189009,0.7608505626087197,0.7640870401092861,0.7849190587854307,0.7634419235753749,0.011818770559492627,15
0.056248950958251956,0.0007727441999803363,0.01351027488708496,0.0001600627636542683,0.8,True,"{'alpha': 0.8, 'fit_prior': True}",0.7452916931204265,0.7561595053706396,0.7573378837937675,0.7613980886175876,0.7816598360319222,0.7603694013868687,0.01190454883434582,18
0.05605030059814453,0.000569159990935519,0.013200855255126953,0.00022390968107648335,0.8,False,"{'alpha': 0.8, 'fit_prior': False}",0.7454690140995075,0.7561708173369468,0.757352234534687,0.7613107320086163,0.7816665359576236,0.7603938667874763,0.011859207365053248,17
0.0557767391204834,0.0004549940485272557,0.013183832168579102,0.00014306386255339947,0.9,True,"{'alpha': 0.9, 'fit_prior': True}",0.7426867264741948,0.753238095901434,0.7542786407319851,0.7586682693530966,0.7779284188752704,0.7573600302671963,0.011546092395470471,19
0.05575265884399414,0.00032799272955928553,0.013140296936035157,7.15920774913452e-05,0.9,False,"{'alpha': 0.9, 'fit_prior': False}",0.7428860851141285,0.7532500383218881,0.7542909362970428,0.7584201853841936,0.7779355301522551,0.7573565550539016,0.011491575382764208,20
0.05589003562927246,0.0003436347550396952,0.013179206848144531,0.00011291586466435868,1.0,True,"{'alpha': 1.0, 'fit_prior': True}",0.7408638042581526,0.7516812092881392,0.7521632992327563,0.756168074346662,0.7745074374203585,0.7550767649092137,0.010961462687214166,21
0.05594401359558106,0.0003060026589550081,0.013266563415527344,0.0003672724416852552,1.0,False,"{'alpha': 1.0, 'fit_prior': False}",0.7409683912567295,0.751693167412027,0.7521769902825816,0.7558232467920031,0.7745115078022278,0.7550346607091138,0.010928506162572274,22
